,value,prev,prev_2,prev_3,last_5_mean,z,date,time,dow,hour,min
0,1.04725631,0.0,0,0,0.0,0.10408944727734924,2014-07-06,20:10:00,6,20,10
1,1.848031311,0.0,0,0,0.0,0.25320309232717086,2014-07-06,20:15:00,6,20,15
2,1.297892074,0.0,0,0,0.0,0.15076074983201884,2014-07-06,20:20:00,6,20,20
3,1.593151069,1.04725631,0,0,0.0,0.20574141846330277,2014-07-06,20:25:00,6,20,25
4,0.0,1.848031311,0,0,0.0,-0.09092189235052958,2014-07-06,20:35:00,6,20,35
5,0.0,1.297892074,0,0,1.1572661528,-0.09092189235052958,2014-07-06,20:40:00,6,20,40
6,0.0,1.593151069,0,0,0.9478148907999999,-0.09092189235052958,2014-07-06,20:45:00,6,20,45
7,0.0,0.0,0,0,0.5782086286,-0.09092189235052958,2014-07-06,20:50:00,6,20,50
8,0.899700517,0.0,0,0,0.3186302138,0.07661283759926192,2014-07-06,20:55:00,6,20,55
9,0.0,0.0,0,0,0.1799401034,-0.09092189235052958,2014-07-06,21:00:00,6,21,0
10,0.0,0.0,0,0,0.1799401034,-0.09092189235052958,2014-07-06,21:05:00,6,21,5
11,0.0,0.899700517,0,0,0.1799401034,-0.09092189235052958,2014-07-06,21:10:00,6,21,10
12,0.0,0.0,0,0,0.1799401034,-0.09092189235052958,2014-07-06,21:15:00,6,21,15
13,0.0,0.0,0,0,0.1799401034,-0.09092189235052958,2014-07-06,21:20:00,6,21,20
14,0.0,0.0,0,0,0.0,-0.09092189235052958,2014-07-06,21:25:00,6,21,25
15,0.0,0.0,0,0,0.0,-0.09092189235052958,2014-07-06,21:30:00,6,21,30
16,0.0,0.0,0,0,0.0,-0.09092189235052958,2014-07-06,21:35:00,6,21,35
17,0.0,0.0,0,0,0.0,-0.09092189235052958,2014-07-06,21:40:00,6,21,40
18,0.0,0.0,0,0,0.0,-0.09092189235052958,2014-07-06,21:45:00,6,21,45
19,0.0,0.0,0,0,0.0,-0.09092189235052958,2014-07-06,21:50:00,6,21,50
20,0.0,0.0,0,0,0.0,-0.09092189235052958,2014-07-06,21:55:00,6,21,55
21,0.0,0.0,0,0,0.0,-0.09092189235052958,2014-07-06,22:00:00,6,22,0
22,0.0,0.0,0,0,0.0,-0.09092189235052958,2014-07-06,22:05:00,6,22,5
23,0.0,0.0,0,0,0.0,-0.09092189235052958,2014-07-06,22:10:00,6,22,10
24,0.0,0.0,0,0,0.0,-0.09092189235052958,2014-07-06,22:15:00,6,22,15
25,0.0,0.0,0,0,0.0,-0.09092189235052958,2014-07-06,22:20:00,6,22,20
26,0.0,0.0,0,0,0.0,-0.09092189235052958,2014-07-06,22:25:00,6,22,25
27,0.0,0.0,0,0,0.0,-0.09092189235052958,2014-07-06,22:30:00,6,22,30
28,0.0,0.0,0,0,0.0,-0.09092189235052958,2014-07-06,22:35:00,6,22,35
29,0.0,0.0,0,0,0.0,-0.09092189235052958,2014-07-06,22:40:00,6,22,40
30,0.0,0.0,0,0,0.0,-0.09092189235052958,2014-07-06,22:45:00,6,22,45
31,0.0,0.0,0,0,0.0,-0.09092189235052958,2014-07-06,22:50:00,6,22,50
32,0.0,0.0,0,0,0.0,-0.09092189235052958,2014-07-06,22:55:00,6,22,55
33,0.0,0.0,0,0,0.0,-0.09092189235052958,2014-07-06,23:00:00,6,23,0
34,0.0,0.0,0,0,0.0,-0.09092189235052958,2014-07-06,23:05:00,6,23,5
35,0.0,0.0,0,0,0.0,-0.09092189235052958,2014-07-06,23:10:00,6,23,10
36,0.0,0.0,0,0,0.0,-0.09092189235052958,2014-07-06,23:15:00,6,23,15
37,0.0,0.0,0,0,0.0,-0.09092189235052958,2014-07-06,23:20:00,6,23,20
38,0.0,0.0,0,0,0.0,-0.09092189235052958,2014-07-06,23:25:00,6,23,25
39,0.0,0.0,0,0,0.0,-0.09092189235052958,2014-07-06,23:30:00,6,23,30
40,0.0,0.0,0,0,0.0,-0.09092189235052958,2014-07-06,23:35:00,6,23,35
41,0.0,0.0,0,0,0.0,-0.09092189235052958,2014-07-06,23:40:00,6,23,40
42,0.0,0.0,0,0,0.0,-0.09092189235052958,2014-07-06,23:45:00,6,23,45
43,0.0,0.0,0,0,0.0,-0.09092189235052958,2014-07-06,23:50:00,6,23,50
44,0.0,0.0,0,0,0.0,-0.09092189235052958,2014-07-06,23:55:00,6,23,55
45,0.0,0.0,0,0,0.0,-0.09092189235052958,2014-07-07,00:00:00,0,0,0
46,0.0,0.0,0,0,0.0,-0.09092189235052958,2014-07-07,00:05:00,0,0,5
47,0.0,0.0,0,0,0.0,-0.09092189235052958,2014-07-07,00:10:00,0,0,10
48,0.0,0.0,0,0,0.0,-0.09092189235052958,2014-07-07,00:15:00,0,0,15
49,0.0,0.0,0,0,0.0,-0.09092189235052958,2014-07-07,00:20:00,0,0,20
50,0.0,0.0,0,0,0.0,-0.09092189235052958,2014-07-07,00:25:00,0,0,25
51,0.0,0.0,0,0,0.0,-0.09092189235052958,2014-07-07,00:30:00,0,0,30
52,0.0,0.0,0,0,0.0,-0.09092189235052958,2014-07-07,00:35:00,0,0,35
53,0.0,0.0,0,0,0.0,-0.09092189235052958,2014-07-07,00:40:00,0,0,40
54,0.0,0.0,0,0,0.0,-0.09092189235052958,2014-07-07,00:45:00,0,0,45
55,0.0,0.0,0,0,0.0,-0.09092189235052958,2014-07-07,00:50:00,0,0,50
56,0.0,0.0,0,0,0.0,-0.09092189235052958,2014-07-07,00:55:00,0,0,55
57,0.0,0.0,0,0,0.0,-0.09092189235052958,2014-07-07,01:00:00,0,1,0
58,0.0,0.0,0,0,0.0,-0.09092189235052958,2014-07-07,01:05:00,0,1,5
59,0.0,0.0,0,0,0.0,-0.09092189235052958,2014-07-07,01:10:00,0,1,10
60,0.0,0.0,0,0,0.0,-0.09092189235052958,2014-07-07,01:15:00,0,1,15
61,0.0,0.0,0,0,0.0,-0.09092189235052958,2014-07-07,01:20:00,0,1,20
62,0.0,0.0,0,0,0.0,-0.09092189235052958,2014-07-07,01:25:00,0,1,25
63,0.0,0.0,0,0,0.0,-0.09092189235052958,2014-07-07,01:30:00,0,1,30
64,0.0,0.0,0,0,0.0,-0.09092189235052958,2014-07-07,01:35:00,0,1,35
65,0.0,0.0,0,0,0.0,-0.09092189235052958,2014-07-07,01:40:00,0,1,40
66,0.0,0.0,0,0,0.0,-0.09092189235052958,2014-07-07,01:45:00,0,1,45
67,0.0,0.0,0,0,0.0,-0.09092189235052958,2014-07-07,01:50:00,0,1,50
68,0.0,0.0,0,0,0.0,-0.09092189235052958,2014-07-07,01:55:00,0,1,55
69,0.0,0.0,0,0,0.0,-0.09092189235052958,2014-07-07,02:00:00,0,2,0
70,0.0,0.0,0,0,0.0,-0.09092189235052958,2014-07-07,02:05:00,0,2,5
71,0.0,0.0,0,0,0.0,-0.09092189235052958,2014-07-07,02:10:00,0,2,10
72,0.0,0.0,0,0,0.0,-0.09092189235052958,2014-07-07,02:15:00,0,2,15
73,0.0,0.0,0,0,0.0,-0.09092189235052958,2014-07-07,02:20:00,0,2,20
74,0.0,0.0,0,0,0.0,-0.09092189235052958,2014-07-07,02:25:00,0,2,25
75,0.0,0.0,0,0,0.0,-0.09092189235052958,2014-07-07,02:30:00,0,2,30
76,0.0,0.0,0,0,0.0,-0.09092189235052958,2014-07-07,02:35:00,0,2,35
77,0.0,0.0,0,0,0.0,-0.09092189235052958,2014-07-07,02:40:00,0,2,40
78,0.0,0.0,0,0,0.0,-0.09092189235052958,2014-07-07,02:45:00,0,2,45
79,0.0,0.0,0,0,0.0,-0.09092189235052958,2014-07-07,02:50:00,0,2,50
